id,alternateNames
geoId/3651000,"New York City,NYC"
country/USA,"America,usa"
wikidataId/Q174,"Sao Paulo"
country/AFG,afg
country/AIA,aia
country/ARE,uae
country/AUS,aus
country/AUT,aut
country/BFA,bfa
country/BGD,bgd
country/BGR,bgr
country/BHR,bhr
country/BHS,bhs
country/BIH,bih
country/BLM,blm
country/BLR,blr
country/BLZ,blz
country/BRN,brn
country/BWA,bwa
country/CAF,caf
country/CHE,che
country/CHL,chl
country/CHN,"chn,cn"
country/CMR,cmr
country/CSK,csk
country/CYM,cym
country/CYP,cyp
country/CZE,"cze,cz,czechia"
country/DEU,deu
country/DJI,dji
country/DMA,dma
country/DNK,dnk
country/DZA,dza
country/EGY,egy
country/ERI,eri
country/ESH,esh
country/FJI,"fji,fj"
country/FLK,flk
country/FRA,"fra,fr"
country/GBR,"gbr,uk"
country/GHA,"gha,gh"
country/GIN,gn
country/GLP,glp
country/GMB,gmb
country/GNB,gnb
country/GNQ,gnq
country/GRC,grc
country/GRL,grl
country/GTM,gtm
country/GUF,guf
country/GUY,gy
country/HKG,"hk,hkg"
country/HND,hnd
country/IDN,idn
country/IND,ind
country/IRL,irl
country/IRN,irn
country/IRQ,irq
country/ISL,isl
country/ISR,isr
country/ITA,ita
country/JAM,jm
country/JPN,"jpn,jp"
country/KAZ,"kaz,kz"
country/KEN,ken
country/KGZ,kgz
country/KHM,khm
country/KNA,kna
country/KOR,"kor,kr"
country/KWT,"kwt,kw"
country/LAO,lao
country/LBN,lbn
country/LBR,lbr
country/LBY,lby
country/LCA,lca
country/LKA,"lka,lk"
country/LSO,lso
country/LTU,ltu
country/LVA,lva
country/MCO,mco
country/MDA,mda
country/MDG,mdg
country/MDV,mdv
country/MEX,"mex,mx"
country/MHL,mhl
country/MKD,mkd
country/MLI,mli
country/MLT,mlt
country/MNG,mng
country/MNP,mnp
country/MOZ,"moz,mz"
country/MRT,mrt
country/MTQ,mtq
country/MUS,mus
country/MWI,"mwi,mw"
country/MYS,mys
country/MYT,myt
country/NCL,ncl
country/NER,ner
country/NFK,nfk
country/NGA,nga
country/NIU,niu
country/NLD,nld
country/NPL,npl
country/NRU,nru
country/NZL,nzl
country/PAK,pak
country/PCN,pcn
country/PHL,phl
country/PLW,plw
country/PRI,pri
country/PRK,prk
country/PRT,prt
country/PSE,pse
country/PYF,pyf
country/RWA,rwa
country/SAU,sau
country/SCG,scg
country/SDN,sdn
country/SGP,sgp
country/SGS,sgs
country/SHN,shn
country/SRB,srb
country/SVK,svk
country/SVN,svn
country/SXM,sxm
country/SYC,syc
country/SYR,syr
country/TCD,tcd
country/TGO,tgo
country/THA,tha
country/TJK,tjk
country/TKL,tkl
country/TKM,tkm
country/TON,tga
country/TTO,tto
country/TUN,tun
country/TUR,tun
country/TUV,tuv
country/TWN,twn
country/TZA,tza
country/UGA,uga
country/UKR,ukr
country/URY,ury
country/UZB,uzb
country/VCT,vct
country/VGB,vgb
country/VNM,vnm
country/VUT,vut
country/WLF,wlf
country/WSM,wsm
country/XKS,xks
country/ZAF,zaf
country/ZMB,zmb
country/ZWE,"zwe,zw"
